region,suburb,occupation,occupation_count_2041,occupation_rank_2041,industry,industry_count_2041,industry_rank_2041
Brisbane Inner City,Kelvin Grove - Herston,ICT Professionals,528,top_2,Accommodation,508,top_2
Brisbane Inner City,Kelvin Grove - Herston,Specialist Managers,515,top_3,Food and Beverage Services,409,top_3
Brisbane - West,Kenmore,ICT Professionals,932,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",673,top_1
Brisbane - West,Kenmore,Specialist Managers,673,top_2,Computer System Design and Related Services,566,top_2
Brisbane - West,Kenmore,Education Professionals,475,top_3,Preschool and School Education,358,top_3
Brisbane - West,Keperra,Carers and Aides,3116,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",357,top_1
Brisbane - West,Keperra,Cleaners and Laundry Workers,237,top_2,Public Administration,349,top_2
Brisbane - West,Keperra,Education Professionals,94,top_3,Preschool and School Education,286,top_3
Brisbane - South,Kuraby,Specialist Managers,385,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",557,top_1
Brisbane - South,Kuraby,"Business, Human Resource and Marketing Professionals",379,top_2,Food and Beverage Services,349,top_2
Brisbane - South,Kuraby,"Design, Engineering, Science and Transport Professionals",370,top_3,Public Administration,329,top_3
Brisbane - South,Macgregor (Qld),Carers and Aides,305,top_1,Food and Beverage Services,423,top_1
Brisbane - South,Macgregor (Qld),"Design, Engineering, Science and Transport Professionals",258,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",301,top_2
Brisbane - South,Macgregor (Qld),"Business, Human Resource and Marketing Professionals",245,top_3,Public Administration,267,top_3
Brisbane - East,Manly - Lota,Specialist Managers,398,top_1,Construction Services,395,top_1
Brisbane - East,Manly - Lota,"Business, Human Resource and Marketing Professionals",201,top_2,Public Administration,221,top_2
Brisbane - East,Manly - Lota,Construction Trades Workers,173,top_3,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",213,top_3
Brisbane - East,Manly West,Specialist Managers,569,top_1,Construction Services,595,top_1
Brisbane - East,Manly West,Sales Assistants and Salespersons,314,top_2,Preschool and School Education,392,top_2
Brisbane - East,Manly West,Carers and Aides,311,top_3,Public Administration,360,top_3
Brisbane - South,Mansfield (Qld),"Business, Human Resource and Marketing Professionals",385,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",517,top_1
Brisbane - South,Mansfield (Qld),Carers and Aides,384,top_2,Public Administration,345,top_2
Brisbane - South,Mansfield (Qld),Specialist Managers,296,top_3,Other Store-Based Retailing,338,top_3
Brisbane - North,McDowall,Carers and Aides,728,top_1,Public Administration,511,top_1
Brisbane - North,McDowall,Specialist Managers,585,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",437,top_2
Brisbane - North,McDowall,Education Professionals,520,top_3,Preschool and School Education,431,top_3
Brisbane - West,Middle Park - Jamboree Heights,"Business, Human Resource and Marketing Professionals",379,top_1,Tertiary Education,489,top_1
Brisbane - West,Middle Park - Jamboree Heights,Specialist Managers,378,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",412,top_2
Brisbane - West,Middle Park - Jamboree Heights,"Design, Engineering, Science and Transport Professionals",266,top_3,Preschool and School Education,278,top_3
Brisbane - West,Mitchelton,Carers and Aides,984,top_1,Public Administration,804,top_1
Brisbane - West,Mitchelton,Education Professionals,680,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",613,top_2
Brisbane - West,Mitchelton,Specialist Managers,619,top_3,Preschool and School Education,580,top_3
Brisbane - South,Moorooka,Specialist Managers,644,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",460,top_1
Brisbane - South,Moorooka,Carers and Aides,481,top_2,Public Administration,442,top_2
Brisbane - South,Moorooka,Education Professionals,454,top_3,Tertiary Education,351,top_3
Brisbane Inner City,Morningside - Seven Hills,Specialist Managers,934,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",861,top_1
Brisbane Inner City,Morningside - Seven Hills,"Business, Human Resource and Marketing Professionals",751,top_2,Public Administration,470,top_2
Brisbane Inner City,Morningside - Seven Hills,ICT Professionals,605,top_3,Computer System Design and Related Services,426,top_3
Brisbane - South,Mount Gravatt,"Business, Human Resource and Marketing Professionals",949,top_1,Public Administration,938,top_1
Brisbane - South,Mount Gravatt,Specialist Managers,920,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",875,top_2
Brisbane - South,Mount Gravatt,Carers and Aides,753,top_3,Other Store-Based Retailing,625,top_3
Brisbane - East,Murarrie,Specialist Managers,364,top_1,Construction Services,263,top_1
Brisbane - East,Murarrie,"Business, Human Resource and Marketing Professionals",242,top_2,Public Administration,236,top_2
Brisbane - East,Murarrie,Carers and Aides,225,top_3,Other Store-Based Retailing,190,top_3
Brisbane Inner City,New Farm,Specialist Managers,932,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1290,top_1
Brisbane Inner City,New Farm,"Business, Human Resource and Marketing Professionals",919,top_2,Food and Beverage Services,635,top_2
Brisbane Inner City,New Farm,ICT Professionals,781,top_3,Computer System Design and Related Services,515,top_3
Brisbane Inner City,Newmarket,Specialist Managers,313,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",299,top_1
Brisbane Inner City,Newmarket,"Business, Human Resource and Marketing Professionals",286,top_2,Public Administration,212,top_2
Brisbane Inner City,Newmarket,ICT Professionals,220,top_3,Other Store-Based Retailing,174,top_3
Brisbane Inner City,Newstead - Bowen Hills,Specialist Managers,1884,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",2368,top_1
Brisbane Inner City,Newstead - Bowen Hills,"Business, Human Resource and Marketing Professionals",1650,top_2,Computer System Design and Related Services,1007,top_2
Brisbane Inner City,Newstead - Bowen Hills,ICT Professionals,1271,top_3,Food and Beverage Services,839,top_3
Brisbane Inner City,Norman Park,Specialist Managers,568,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",452,top_1
Brisbane Inner City,Norman Park,"Business, Human Resource and Marketing Professionals",378,top_2,Public Administration,242,top_2
Brisbane Inner City,Norman Park,ICT Professionals,292,top_3,Medical and Other Health Care Services,220,top_3
Brisbane - North,Northgate - Virginia,"Business, Human Resource and Marketing Professionals",325,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",401,top_1
Brisbane - North,Northgate - Virginia,Specialist Managers,287,top_2,Public Administration,352,top_2
Brisbane - North,Northgate - Virginia,Carers and Aides,233,top_3,Food and Beverage Services,240,top_3
Brisbane - North,Nudgee - Banyo,"Business, Human Resource and Marketing Professionals",423,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",523,top_1
Brisbane - North,Nudgee - Banyo,Specialist Managers,324,top_2,Public Administration,424,top_2
Brisbane - North,Nudgee - Banyo,Carers and Aides,316,top_3,Rail Transport,275,top_3
Brisbane - North,Nundah,"Business, Human Resource and Marketing Professionals",636,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",746,top_1
Brisbane - North,Nundah,ICT Professionals,520,top_2,Public Administration,716,top_2
Brisbane - North,Nundah,Carers and Aides,518,top_3,Food and Beverage Services,475,top_3
Ipswich,Oxley (Qld),Protective Service Workers,416,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",669,top_1
Ipswich,Oxley (Qld),Carers and Aides,407,top_2,"Public Order, Safety and Regulatory Services",403,top_2
Ipswich,Oxley (Qld),"Design, Engineering, Science and Transport Professionals",365,top_3,Public Administration,370,top_3
Brisbane Inner City,Paddington - Milton,Specialist Managers,966,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1041,top_1
Brisbane Inner City,Paddington - Milton,"Business, Human Resource and Marketing Professionals",925,top_2,Computer System Design and Related Services,613,top_2
Brisbane Inner City,Paddington - Milton,ICT Professionals,797,top_3,Public Administration,510,top_3
Brisbane - South,Pallara - Willawong,Specialist Managers,366,top_1,Other Store-Based Retailing,378,top_1
Brisbane - South,Pallara - Willawong,"Business, Human Resource and Marketing Professionals",321,top_2,Construction Services,330,top_2
Brisbane - South,Pallara - Willawong,Health Professionals,296,top_3,"Public Order, Safety and Regulatory Services",324,top_3
Brisbane - South,Parkinson - Drewvale,Specialist Managers,725,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",651,top_1
Brisbane - South,Parkinson - Drewvale,"Business, Human Resource and Marketing Professionals",643,top_2,Public Administration,650,top_2
Brisbane - South,Parkinson - Drewvale,Carers and Aides,604,top_3,Tertiary Education,636,top_3
Brisbane - West,Pinjarra Hills - Pullenvale,Specialist Managers,440,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",338,top_1
Brisbane - West,Pinjarra Hills - Pullenvale,ICT Professionals,405,top_2,Computer System Design and Related Services,294,top_2
Brisbane - West,Pinjarra Hills - Pullenvale,Education Professionals,174,top_3,Tertiary Education,146,top_3
Brisbane Inner City,Red Hill (Qld),"Business, Human Resource and Marketing Professionals",491,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",500,top_1
Brisbane Inner City,Red Hill (Qld),Specialist Managers,419,top_2,Computer System Design and Related Services,229,top_2
Brisbane Inner City,Red Hill (Qld),"Design, Engineering, Science and Transport Professionals",331,top_3,Public Administration,228,top_3
Brisbane - West,Riverhills,ICT Professionals,209,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",189,top_1
Brisbane - West,Riverhills,Specialist Managers,186,top_2,Computer System Design and Related Services,171,top_2
Brisbane - West,Riverhills,Carers and Aides,164,top_3,Other Store-Based Retailing,149,top_3
Brisbane - South,Robertson,Carers and Aides,286,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",430,top_1
Brisbane - South,Robertson,"Business, Human Resource and Marketing Professionals",221,top_2,Food and Beverage Services,364,top_2
Brisbane - South,Robertson,Specialist Managers,206,top_3,Public Administration,229,top_3
Brisbane - South,Rochedale - Burbank,Specialist Managers,957,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1289,top_1
Brisbane - South,Rochedale - Burbank,"Business, Human Resource and Marketing Professionals",605,top_2,Construction Services,887,top_2
Brisbane - South,Rochedale - Burbank,Education Professionals,572,top_3,Public Administration,407,top_3
Brisbane - South,Rocklea - Acacia Ridge,Carers and Aides,640,top_1,Food and Beverage Services,440,top_1
Brisbane - South,Rocklea - Acacia Ridge,Road and Rail Drivers,307,top_2,Public Administration,432,top_2
Brisbane - South,Rocklea - Acacia Ridge,"Business, Human Resource and Marketing Professionals",286,top_3,Construction Services,361,top_3
Brisbane - South,Runcorn,Carers and Aides,810,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1224,top_1
Brisbane - South,Runcorn,"Business, Human Resource and Marketing Professionals",776,top_2,Food and Beverage Services,985,top_2
Brisbane - South,Runcorn,"Design, Engineering, Science and Transport Professionals",693,top_3,Public Administration,749,top_3
Brisbane - South,Salisbury - Nathan,Sports and Personal Service Workers,345,top_1,Public Administration,308,top_1
Brisbane - South,Salisbury - Nathan,Specialist Managers,334,top_2,Food and Beverage Services,292,top_2
Brisbane - South,Salisbury - Nathan,Carers and Aides,329,top_3,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",277,top_3
Brisbane - North,Sandgate - Shorncliffe,Specialist Managers,354,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",499,top_1
Brisbane - North,Sandgate - Shorncliffe,"Business, Human Resource and Marketing Professionals",286,top_2,Public Administration,327,top_2
Brisbane - North,Sandgate - Shorncliffe,Carers and Aides,258,top_3,Tertiary Education,226,top_3
Brisbane - West,Seventeen Mile Rocks - Sinnamon Park,Specialist Managers,567,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",831,top_1
Brisbane - West,Seventeen Mile Rocks - Sinnamon Park,"Design, Engineering, Science and Transport Professionals",473,top_2,Tertiary Education,397,top_2
Brisbane - West,Seventeen Mile Rocks - Sinnamon Park,"Business, Human Resource and Marketing Professionals",467,top_3,"Public Order, Safety and Regulatory Services",314,top_3
Brisbane - West,Sherwood,Specialist Managers,399,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",364,top_1
Brisbane - West,Sherwood,"Business, Human Resource and Marketing Professionals",317,top_2,Public Administration,251,top_2
Brisbane - West,Sherwood,ICT Professionals,301,top_3,Preschool and School Education,240,top_3
Brisbane Inner City,South Brisbane,Specialist Managers,1795,top_1,Food and Beverage Services,2319,top_1
Brisbane Inner City,South Brisbane,ICT Professionals,1769,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1797,top_2
Brisbane Inner City,South Brisbane,"Business, Human Resource and Marketing Professionals",1562,top_3,Computer System Design and Related Services,1433,top_3
Brisbane Inner City,Spring Hill,ICT Professionals,791,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",562,top_1
Brisbane Inner City,Spring Hill,"Business, Human Resource and Marketing Professionals",393,top_2,Food and Beverage Services,493,top_2
Brisbane Inner City,Spring Hill,"Design, Engineering, Science and Transport Professionals",376,top_3,Computer System Design and Related Services,423,top_3
Brisbane - West,St Lucia,Education Professionals,981,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",992,top_1
Brisbane - West,St Lucia,Hospitality Workers,707,top_2,Tertiary Education,941,top_2
Brisbane - West,St Lucia,"Design, Engineering, Science and Transport Professionals",704,top_3,Food and Beverage Services,872,top_3
Brisbane - North,Stafford,ICT Professionals,402,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",380,top_1
Brisbane - North,Stafford,"Business, Human Resource and Marketing Professionals",327,top_2,Computer System Design and Related Services,321,top_2
Brisbane - North,Stafford,Specialist Managers,285,top_3,Public Administration,272,top_3
Brisbane - North,Stafford Heights,Carers and Aides,562,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",404,top_1
Brisbane - North,Stafford Heights,Education Professionals,358,top_2,Public Administration,303,top_2
Brisbane - North,Stafford Heights,Specialist Managers,345,top_3,Other Store-Based Retailing,233,top_3
Brisbane - South,Sunnybank,Carers and Aides,470,top_1,Food and Beverage Services,669,top_1
Brisbane - South,Sunnybank,"Business, Human Resource and Marketing Professionals",439,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",643,top_2
Brisbane - South,Sunnybank,Education Professionals,354,top_3,Public Administration,422,top_3
Brisbane - South,Sunnybank Hills,"Business, Human Resource and Marketing Professionals",871,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1291,top_1
Brisbane - South,Sunnybank Hills,Carers and Aides,844,top_2,Food and Beverage Services,1037,top_2
Brisbane - South,Sunnybank Hills,"Design, Engineering, Science and Transport Professionals",712,top_3,Public Administration,762,top_3
Brisbane - North,Taigum - Fitzgibbon,Carers and Aides,662,top_1,Public Administration,562,top_1
Brisbane - North,Taigum - Fitzgibbon,ICT Professionals,584,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",420,top_2
Brisbane - North,Taigum - Fitzgibbon,"Business, Human Resource and Marketing Professionals",486,top_3,Social Assistance Services,414,top_3
Brisbane - West,Taringa,ICT Professionals,775,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",682,top_1
Brisbane - West,Taringa,"Design, Engineering, Science and Transport Professionals",620,top_2,Computer System Design and Related Services,490,top_2
Brisbane - West,Taringa,Education Professionals,530,top_3,Food and Beverage Services,408,top_3
Brisbane - South,Tarragindi,Specialist Managers,682,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",436,top_1
Brisbane - South,Tarragindi,Education Professionals,459,top_2,Preschool and School Education,418,top_2
Brisbane - South,Tarragindi,"Business, Human Resource and Marketing Professionals",443,top_3,Public Administration,374,top_3
Brisbane - West,The Gap,Education Professionals,1441,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1220,top_1
Brisbane - West,The Gap,Specialist Managers,1208,top_2,Preschool and School Education,943,top_2
Brisbane - West,The Gap,Carers and Aides,1174,top_3,Public Administration,683,top_3
Brisbane - East,Tingalpa,Specialist Managers,389,top_1,Construction Services,411,top_1
Brisbane - East,Tingalpa,Health Professionals,277,top_2,Hospitals,309,top_2
Brisbane - East,Tingalpa,"Business, Human Resource and Marketing Professionals",270,top_3,Tertiary Education,309,top_3
Brisbane Inner City,Toowong,ICT Professionals,1023,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",945,top_1
Brisbane Inner City,Toowong,"Business, Human Resource and Marketing Professionals",793,top_2,Computer System Design and Related Services,656,top_2
Brisbane Inner City,Toowong,"Design, Engineering, Science and Transport Professionals",755,top_3,Accommodation,629,top_3
Brisbane - West,Upper Kedron - Ferny Grove,Protective Service Workers,1458,top_1,Preschool and School Education,854,top_1
Brisbane - West,Upper Kedron - Ferny Grove,Carers and Aides,784,top_2,"Public Order, Safety and Regulatory Services",738,top_2
Brisbane - West,Upper Kedron - Ferny Grove,Specialist Managers,599,top_3,Public Administration,711,top_3
Brisbane - South,Upper Mount Gravatt,Carers and Aides,1088,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1527,top_1
Brisbane - South,Upper Mount Gravatt,Specialist Managers,934,top_2,Food and Beverage Services,1226,top_2
Brisbane - South,Upper Mount Gravatt,"Business, Human Resource and Marketing Professionals",924,top_3,Public Administration,968,top_3
Ipswich,Wacol,Carers and Aides,310,top_1,Food Product Manufacturing,243,top_1
Ipswich,Wacol,Road and Rail Drivers,169,top_2,Construction Services,208,top_2
Ipswich,Wacol,Factory Process Workers,150,top_3,Food and Beverage Services,199,top_3
Brisbane - East,Wakerley,Specialist Managers,497,top_1,Construction Services,378,top_1
Brisbane - East,Wakerley,"Business, Human Resource and Marketing Professionals",279,top_2,Hospitals,284,top_2
Brisbane - East,Wakerley,Health Professionals,250,top_3,Preschool and School Education,220,top_3
Brisbane - North,Wavell Heights,Specialist Managers,538,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",593,top_1
Brisbane - North,Wavell Heights,"Business, Human Resource and Marketing Professionals",498,top_2,Public Administration,542,top_2
Brisbane - North,Wavell Heights,Carers and Aides,312,top_3,Other Store-Based Retailing,290,top_3
Brisbane Inner City,West End,Specialist Managers,1211,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1527,top_1
Brisbane Inner City,West End,"Business, Human Resource and Marketing Professionals",1130,top_2,Food and Beverage Services,1355,top_2
Brisbane Inner City,West End,"Design, Engineering, Science and Transport Professionals",1127,top_3,Public Administration,887,top_3
Brisbane - West,Westlake,Specialist Managers,303,top_1,Tertiary Education,299,top_1
Brisbane - West,Westlake,"Business, Human Resource and Marketing Professionals",223,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",257,top_2
Brisbane - West,Westlake,"Design, Engineering, Science and Transport Professionals",194,top_3,Other Store-Based Retailing,174,top_3
Brisbane Inner City,Wilston,Specialist Managers,314,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",317,top_1
Brisbane Inner City,Wilston,"Business, Human Resource and Marketing Professionals",257,top_2,Medical and Other Health Care Services,180,top_2
Brisbane Inner City,Wilston,ICT Professionals,193,top_3,Hospitals,151,top_3
Brisbane Inner City,Windsor,Specialist Managers,573,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",630,top_1
Brisbane Inner City,Windsor,"Business, Human Resource and Marketing Professionals",502,top_2,Public Administration,393,top_2
Brisbane Inner City,Windsor,Carers and Aides,444,top_3,Hospitals,374,top_3
Brisbane - South,Wishart,"Business, Human Resource and Marketing Professionals",496,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",655,top_1
Brisbane - South,Wishart,Specialist Managers,466,top_2,Public Administration,505,top_2
Brisbane - South,Wishart,Carers and Aides,441,top_3,Preschool and School Education,436,top_3
Brisbane - South,Woolloongabba,Carers and Aides,734,top_1,Food and Beverage Services,1048,top_1
Brisbane - South,Woolloongabba,ICT Professionals,721,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",676,top_2
Brisbane - South,Woolloongabba,"Business, Human Resource and Marketing Professionals",654,top_3,Public Administration,563,top_3
Brisbane Inner City,Wooloowin - Lutwyche,Specialist Managers,692,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",814,top_1
Brisbane Inner City,Wooloowin - Lutwyche,"Business, Human Resource and Marketing Professionals",683,top_2,Public Administration,562,top_2
Brisbane Inner City,Wooloowin - Lutwyche,ICT Professionals,508,top_3,Food and Beverage Services,482,top_3
Brisbane - East,Wynnum,Specialist Managers,732,top_1,Construction Services,800,top_1
Brisbane - East,Wynnum,Sales Assistants and Salespersons,395,top_2,Preschool and School Education,464,top_2
Brisbane - East,Wynnum,Health Professionals,386,top_3,Public Administration,455,top_3
Brisbane - East,Wynnum West - Hemmant,Specialist Managers,570,top_1,Construction Services,743,top_1
Brisbane - East,Wynnum West - Hemmant,Carers and Aides,411,top_2,Air and Space Transport,492,top_2
Brisbane - East,Wynnum West - Hemmant,"Business, Human Resource and Marketing Professionals",371,top_3,Tertiary Education,457,top_3
Brisbane - South,Yeronga,Specialist Managers,569,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",551,top_1
Brisbane - South,Yeronga,ICT Professionals,483,top_2,Medical and Other Health Care Services,337,top_2
Brisbane - South,Yeronga,"Business, Human Resource and Marketing Professionals",399,top_3,Public Administration,306,top_3
Brisbane - North,Zillmere,Carers and Aides,440,top_1,Public Administration,417,top_1
Brisbane - North,Zillmere,"Business, Human Resource and Marketing Professionals",339,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",414,top_2
Brisbane - North,Zillmere,Specialist Managers,259,top_3,Social Assistance Services,291,top_3